"Actual Payment Date","Invoice Due Date","Source","Capex Opex","Org Name","Bank Account Name","Pay Group","Inv Source","Vendor Name","Company","Account","Cost Centre","Product","Sales Channel","Country","Intercompany","Project","Location","Po Num","Invoice Num","Invoice Creation Date","Distribution Line Number","Actual Payment Amount Fx","Payment Amount Aud","Payment Number","Payment Batch Name","Payment Method","Invoice Currency","Payment Creation Date","Line Type","Invoice Line Desc","Tax Code","Payment Currency","Invoice Date","Capex Number","Invoice Id","Expenditure Type"
"04-JAN-2016","03-JAN-2016","MANUAL INV","OPEX","VHA","VHA ANZ Payables","3GSTANDARD","Manual Invoice Entry","APPLE PTY LTD","3109","604101","7024","000","10","AUS","0000","00","A010","3420426","4366157344","07-DEC-2015",1,4664,4664,110369,"VHA04012016APPLEC","0","AUD","04-JAN-2016","ACCRUAL","Handset Servicing: BAU Apple Swap/Refurbishment charges for the final 9 weeks of 2015. Average 80K per week.","0","AUD","04-DEC-2015","0",10894574,"0"
"04-JAN-2016","03-JAN-2016","MANUAL INV","OPEX","VHA","VHA ANZ Payables","3GSTANDARD","Manual Invoice Entry","APPLE PTY LTD","3109","604101","7024","000","10","AUS","0000","00","A010","3420426","4366157352","07-DEC-2015",1,1530.1,1530.1,110369,"VHA04012016APPLEC","0","AUD","04-JAN-2016","ACCRUAL","Handset Servicing: BAU Apple Swap/Refurbishment charges for the final 9 weeks of 2015. Average 80K per week.","0","AUD","04-DEC-2015","0",10894580,"0"
"04-JAN-2016","30-DEC-2015","MANUAL INV","OPEX","VHA","VHA ANZ Payables","3GSTANDARD","Manual Invoice Entry","APPLE PTY LTD","3109","604101","7024","000","10","AUS","0000","00","A010","3420426","4365379052","07-DEC-2015",1,418,418,110370,"VHA04012016APPLEA","0","AUD","04-JAN-2016","ACCRUAL","Handset Servicing: BAU Apple Swap/Refurbishment charges for the final 9 weeks of 2015. Average 80K per week.","0","AUD","30-NOV-2015","0",10894601,"0"
"04-JAN-2016","30-DEC-2015","MANUAL INV","OPEX","VHA","VHA ANZ Payables","3GSTANDARD","Manual Invoice Entry","APPLE PTY LTD","3109","604101","7024","000","10","AUS","0000","00","A010","3420426","4365432420","07-DEC-2015",1,4186.6,4186.6,110370,"VHA04012016APPLEA","0","AUD","04-JAN-2016","ACCRUAL","Handset Servicing: BAU Apple Swap/Refurbishment charges for the final 9 weeks of 2015. Average 80K per week.","0","AUD","30-NOV-2015","0",10894608,"0"
"04-JAN-2016","30-DEC-2015","MANUAL INV","OPEX","VHA","VHA ANZ Payables","3GSTANDARD","Manual Invoice Entry","APPLE PTY LTD","3109","604101","7024","000","10","AUS","0000","00","A010","3420426","4365432429","07-DEC-2015",1,1559.8,1559.8,110370,"VHA04012016APPLEA","0","AUD","04-JAN-2016","ACCRUAL","Handset Servicing: BAU Apple Swap/Refurbishment charges for the final 9 weeks of 2015. Average 80K per week.","0","AUD","30-NOV-2015","0",10894611,"0"
"04-JAN-2016","21-JAN-2016","MANUAL INV","OPEX","VHA","VHA ANZ Payables","3GSTANDARD","Manual Invoice Entry","CISCO SYSTEMS CAPITAL (AUSTRALIA) PTY LTD","3109","331600","0000","000","10","AUS","0000","00","A010","3414937","017856A","22-DEC-2015",1,1155483.67,1155483.67,110366,"VHA04012016ADHOC","0","AUD","04-JAN-2016","ACCRUAL","Cisco transaction. Lease Schedule No D001003065 to Master Lease Agreement No AUS000268. Bulk PO to cover 3 years.","0","AUD","01-DEC-2015","0",10998568,"0"
"04-JAN-2016","21-JAN-2016","MANUAL INV","OPEX","VHA","VHA ANZ Payables","3GSTANDARD","Manual Invoice Entry","CISCO SYSTEMS CAPITAL (AUSTRALIA) PTY LTD","3109","331600","0000","000","10","AUS","0000","00","A010","3415025","002143","22-DEC-2015",1,1023316.1,1023316.1,110366,"VHA04012016ADHOC","0","AUD","04-JAN-2016","ACCRUAL","VHA-Cisco Capital Instalment Payment Agreement (executed).","0","AUD","01-DEC-2015","0",10998566,"0"
"04-JAN-2016","02-JAN-2016","MANUAL INV","OPEX","VHA","VHA ANZ Payables","3GSTANDARD","Manual Invoice Entry","APPLE PTY LTD","3109","222000","0000","000","10","AUS","0000","00","A001","3417684","4365936992","04-DEC-2015",1,149325,149325,110368,"VHA04012016APPLED","0","AUD","04-JAN-2016","ACCRUAL","iPhone 6s  16GB - Space Grey","0","AUD","03-DEC-2015","0",10872569,"0"
"04-JAN-2016","01-JAN-2016","MANUAL INV","OPEX","VHA","VHA ANZ Payables","3GSTANDARD","Manual Invoice Entry","APPLE PTY LTD","3109","222000","0000","000","10","AUS","0000","00","A001","3417341","4365798781","03-DEC-2015",1,1045275,1045275,110370,"VHA04012016APPLEA","0","AUD","04-JAN-2016","ACCRUAL","iPhone 6s  16GB - Gold","0","AUD","02-DEC-2015","0",10868728,"0"
"04-JAN-2016","02-JAN-2016","MANUAL INV","OPEX","VHA","VHA ANZ Payables","3GSTANDARD","Manual Invoice Entry","APPLE PTY LTD","3109","222000","0000","000","10","AUS","0000","00","A001","3417683","4365974777","04-DEC-2015",1,597300,597300,110369,"VHA04012016APPLEC","0","AUD","04-JAN-2016","ACCRUAL","iPhone 6s  16GB - Gold","0","AUD","03-DEC-2015","0",10877565,"0"
